variant,model_name,seed,density_bin,n_images,mae,rmse,r2,exact_match_rate,mean_true,mean_pred
yolo11n,yolo11n.pt,0,low,15,2.466666666666667,3.9916579679793878,-0.6325136612021853,0.4,5.2,7.666666666666667
yolo11n,yolo11n.pt,0,medium,15,5.133333333333334,16.822603841260722,-117.79664179104479,0.4,11.133333333333333,16.266666666666666
yolo11n,yolo11n.pt,0,high,15,18.2,29.638938352556874,0.6653964524287557,0.06666666666666667,59.266666666666666,77.46666666666667
yolo11n,yolo11n.pt,1,low,15,2.0,3.687817782917155,-0.39344262295081944,0.6,5.2,7.2
yolo11n,yolo11n.pt,1,medium,15,4.533333333333333,15.253414918196734,-96.66791044776122,0.3333333333333333,11.133333333333333,15.0
yolo11n,yolo11n.pt,1,high,15,21.4,38.54434675366372,0.4341170177107704,0.06666666666666667,59.266666666666666,80.66666666666667
yolo11n,yolo11n.pt,2,low,15,2.6666666666666665,4.8166378315169185,-1.3770491803278682,0.6,5.2,7.866666666666666
yolo11n,yolo11n.pt,2,medium,15,5.466666666666667,16.3707055437449,-111.50000000000001,0.4,11.133333333333333,16.6
yolo11n,yolo11n.pt,2,high,15,10.066666666666666,17.879224442538515,0.8782405698866118,0.06666666666666667,59.266666666666666,69.2
yolov8n,yolov8n.pt,0,low,15,2.466666666666667,4.711687595755898,-1.2745901639344255,0.6,5.2,7.666666666666667
yolov8n,yolov8n.pt,0,medium,15,5.133333333333334,17.582187956376004,-128.76679104477614,0.4666666666666667,11.133333333333333,16.0
yolov8n,yolov8n.pt,0,high,15,18.133333333333333,25.86632302177228,0.7451558622277448,0.06666666666666667,59.266666666666666,77.4
yolov8n,yolov8n.pt,1,low,15,2.6,4.6833036772489285,-1.247267759562841,0.6,5.2,7.8
yolov8n,yolov8n.pt,1,medium,15,7.6,26.36158821720219,-290.71641791044783,0.4,11.133333333333333,18.333333333333332
yolov8n,yolov8n.pt,1,high,15,24.8,37.58368440338618,0.46197313759281144,0.0,59.266666666666666,83.93333333333334
yolov8n,yolov8n.pt,2,low,15,2.7333333333333334,4.959838707054898,-1.5204918032786878,0.6,5.2,7.933333333333334
yolov8n,yolov8n.pt,2,medium,15,6.4,19.452506265260524,-157.84328358208958,0.3333333333333333,11.133333333333333,17.533333333333335
yolov8n,yolov8n.pt,2,high,15,20.866666666666667,32.75260803864836,0.5914012533984296,0.06666666666666667,59.266666666666666,80.13333333333334
