epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09325,1.4431,3.08709,1.2492,0.03891,0.84189,0.31531,0.22118,1.00458,2.78285,0.97514,0.00026,0.00026,0.00026
2,10.2231,1.20648,1.95352,1.02342,0.03218,0.69626,0.39517,0.27827,0.98914,2.6752,0.97037,0.00051327,0.00051327,0.00051327
3,14.299,1.07929,1.39448,1.01056,0.03885,0.8405,0.3381,0.23533,1.08388,2.73573,1.04873,0.00073882,0.00073882,0.00073882
4,18.7721,1.08841,1.22992,0.99428,0.03385,0.73232,0.05993,0.03351,1.45523,3.06258,1.4122,0.00093665,0.00093665,0.00093665
5,22.858,1.04019,1.1068,0.99095,0.66831,0.35368,0.49911,0.35072,1.01586,2.04982,0.98274,0.00110676,0.00110676,0.00110676
6,27.2742,1.01417,1.08644,0.97858,0.6199,0.67268,0.62916,0.42135,0.96376,1.63353,0.99165,0.00124915,0.00124915,0.00124915
7,31.504,1.02657,1.06154,0.98559,0.66799,0.74506,0.73457,0.5175,0.98857,1.42574,0.98878,0.00136382,0.00136382,0.00136382
8,35.888,0.96838,1.05581,0.96951,0.69752,0.76422,0.75956,0.56141,0.90668,1.18657,0.97154,0.001307,0.001307,0.001307
9,39.9301,0.92438,1.0063,0.95573,0.73634,0.8516,0.83824,0.63584,0.84574,1.03636,0.93234,0.001208,0.001208,0.001208
10,44.0851,0.89196,0.99909,0.95533,0.74893,0.83356,0.83068,0.64806,0.78663,1.07031,0.92876,0.001109,0.001109,0.001109
11,49.118,0.84436,0.9644,0.93645,0.68777,0.85851,0.79653,0.61348,0.81304,1.05707,0.92979,0.00101,0.00101,0.00101
12,52.5621,0.82468,0.9371,0.93164,0.76178,0.79834,0.83107,0.64795,0.79951,1.00752,0.94147,0.000911,0.000911,0.000911
13,56.1501,0.81502,0.99305,0.92635,0.74094,0.82524,0.83596,0.64879,0.7953,0.96201,0.9211,0.000812,0.000812,0.000812
14,59.6083,0.82532,0.94003,0.91373,0.72837,0.85168,0.83078,0.65535,0.75861,0.92955,0.91312,0.000713,0.000713,0.000713
15,62.9982,0.83047,0.87654,0.90785,0.79864,0.84168,0.86432,0.68552,0.7463,0.87593,0.90564,0.000614,0.000614,0.000614
16,66.8011,0.79599,0.9115,0.9029,0.75853,0.82782,0.83098,0.66563,0.7298,0.98497,0.91319,0.000515,0.000515,0.000515
17,70.4859,0.74939,0.85165,0.90895,0.72324,0.86269,0.8192,0.66139,0.73638,0.96585,0.9159,0.000416,0.000416,0.000416
18,74.0012,0.76198,0.82362,0.90555,0.75549,0.85714,0.86455,0.70211,0.7061,0.81387,0.9038,0.000317,0.000317,0.000317
19,77.6609,0.72354,0.8335,0.89989,0.76982,0.84743,0.86389,0.70523,0.70082,0.80798,0.90056,0.000218,0.000218,0.000218
20,81.035,0.73036,0.80383,0.89039,0.77197,0.87335,0.86737,0.70318,0.70154,0.77937,0.89867,0.000119,0.000119,0.000119
