epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80052,1.49897,2.8604,1.27905,0.82446,0.12377,0.28671,0.2052,1.13276,2.63913,1.08927,0.00026,0.00026,0.00026
2,8.44758,1.17429,1.38989,1.02549,0.80484,0.17731,0.58984,0.41073,0.95346,2.25539,0.98254,0.00051327,0.00051327,0.00051327
3,12.3264,1.01057,1.25114,0.99522,0.80883,0.20539,0.46165,0.25986,1.08222,2.64655,1.06426,0.00073882,0.00073882,0.00073882
4,16.2273,1.07919,1.19222,0.99325,0.84169,0.26491,0.48526,0.30774,1.11097,2.35818,1.04386,0.00093665,0.00093665,0.00093665
5,19.9324,1.0274,1.09647,0.9831,0.75238,0.50992,0.61852,0.41124,1.02811,1.94381,1.00965,0.00110676,0.00110676,0.00110676
6,23.4852,0.97738,1.05207,0.97678,0.71366,0.63605,0.70461,0.50675,0.93888,1.62017,0.98008,0.00124915,0.00124915,0.00124915
7,27.2349,0.99344,1.02311,0.97759,0.68816,0.60907,0.64503,0.44943,0.97024,1.72507,1.0064,0.00136382,0.00136382,0.00136382
8,31.2866,0.94282,1.02256,0.96565,0.73025,0.70962,0.75105,0.52998,0.94392,1.3897,0.98948,0.001307,0.001307,0.001307
9,34.7171,0.89684,0.9547,0.95158,0.7131,0.817,0.80351,0.61779,0.84037,0.93988,0.95889,0.001208,0.001208,0.001208
10,37.9501,0.87172,0.95625,0.95122,0.74903,0.78502,0.81463,0.62421,0.81162,1.04773,0.94266,0.001109,0.001109,0.001109
11,42.4109,0.83496,0.96423,0.93671,0.71861,0.81464,0.78731,0.62478,0.7792,0.95951,0.94242,0.00101,0.00101,0.00101
12,45.2751,0.8172,0.93267,0.93572,0.75377,0.85764,0.85153,0.68351,0.73543,1.01531,0.93171,0.000911,0.000911,0.000911
13,48.0593,0.80271,1.0047,0.92353,0.73559,0.84887,0.84367,0.662,0.77245,0.95757,0.93213,0.000812,0.000812,0.000812
14,50.7259,0.8346,0.93463,0.9116,0.73987,0.82449,0.82658,0.64136,0.75708,0.95015,0.93216,0.000713,0.000713,0.000713
15,53.8668,0.81304,0.85332,0.90629,0.7611,0.84839,0.85876,0.6709,0.76454,0.82691,0.94986,0.000614,0.000614,0.000614
16,56.7337,0.77919,0.85053,0.90201,0.77021,0.84466,0.85245,0.67948,0.72253,0.81547,0.91468,0.000515,0.000515,0.000515
17,59.3271,0.74067,0.80906,0.905,0.80456,0.81648,0.86562,0.70102,0.70928,0.78509,0.90483,0.000416,0.000416,0.000416
18,62.3707,0.75925,0.79196,0.90483,0.77997,0.8516,0.87347,0.70923,0.70454,0.79,0.9015,0.000317,0.000317,0.000317
19,65.1025,0.70221,0.78468,0.8932,0.79501,0.85576,0.87424,0.7111,0.6991,0.77915,0.90037,0.000218,0.000218,0.000218
20,67.8882,0.72673,0.76232,0.89042,0.78303,0.88766,0.88372,0.7206,0.69107,0.72758,0.89857,0.000119,0.000119,0.000119
